"Sample.name"	"Sample.GMme2"	"Sex"	"Biosample.ID"	"Population.code"	"Population.name"	"Superpopulation.code"	"Superpopulation.name"	"Population.elastic.ID"	"Data.collections"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"
"HG00138"	"HG00138"	"male"	"SAME123059"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00138"	-0.0474359	-0.00726579	-0.020218	-0.000342411	-0.000233942	-0.00912207	0.0126407	0.00677332	-0.0174267	0.000293572
"HG00140"	"HG00140"	"male"	"SAME124396"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"	"HG00140"	-0.0456713	-0.00263289	-0.0245858	0.0131243	-0.0139665	0.0176839	0.0276955	-0.0144445	0.020858	-0.0141626
"HG00142"	"HG00142"	"male"	"SAME124818"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00142"	-0.0471644	-0.00457922	-0.00287747	3.79535e-05	-0.00324449	0.00372097	0.00874808	-0.00662989	0.00271958	0.0168136
"HG00143"	"HG00143"	"male"	"SAME124393"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00143"	-0.0462642	-0.00807228	-0.0213517	-0.00529731	-0.00801061	0.00963497	-0.0100771	0.00992809	-0.0148468	0.00182575
"HG00145"	"HG00145"	"male"	"SAME124391"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00145"	-0.0473413	0.0010255	-0.0201636	-0.00362084	-0.00801919	0.0128638	-0.0149536	-0.00464224	0.0103847	0.00271178
"HG00146"	"HG00146"	"female"	"SAME124390"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00146"	-0.0471567	0.0011171	-0.00965015	0.00903815	-0.0199987	0.00865395	-0.00780451	-0.00525458	-0.00785485	-0.0201743
"HG00149"	"HG00149"	"male"	"SAME124387"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00149"	-0.0480936	-0.00342823	0.00482522	0.00721832	-0.00965527	0.0096536	-0.010379	-0.00197145	-0.0108906	-0.00451135
"HG00150"	"HG00150"	"female"	"SAME124591"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00150"	-0.0469665	-0.00286572	-0.0112568	0.00220615	-0.0152334	0.00516974	-0.0346635	0.0145378	0.0133802	0.00206604
"HG00154"	"HG00154"	"female"	"SAME124587"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00154"	-0.0472168	-0.006645	-0.0212791	0.00659898	-0.000914259	-0.00385391	-0.00484754	0.0142335	0.00530594	0.00408765
"HG00155"	"HG00155"	"male"	"SAME124588"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00155"	-0.0473734	0.00287524	-0.00744864	0.00734346	-0.00388303	0.00276643	0.0113215	-0.0081233	-0.0269247	-0.00277801
"HG00157"	"HG00157"	"male"	"SAME124590"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00157"	-0.0481868	0.00380479	0.0020269	-0.00673643	-0.0029648	-0.00110353	-0.00764417	-0.0235836	-0.00233862	-0.0122413
"HG00158"	"HG00158"	"female"	"SAME124585"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00158"	-0.0467506	-0.00449609	-0.0119937	0.00791187	-0.00378376	-0.00731734	0.00127037	0.0191628	0.0134674	0.0118688
"HG00171"	"HG00171"	"female"	"SAME124961"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00171"	-0.0468868	0.0232025	0.112632	-0.00440819	-0.0151427	-0.00856063	-0.0101027	0.00750605	0.00469982	0.00736996
"HG00177"	"HG00177"	"female"	"SAME124957"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00177"	-0.0445409	0.029315	0.103064	-0.00794635	0.00322969	-0.00686565	0.0120922	0.0114135	0.00668474	0.00195953
"HG00178"	"HG00178"	"female"	"SAME124964"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00178"	-0.0457174	0.0343877	0.098834	-0.00935621	0.0121957	0.00774726	-0.00295356	-0.0119756	-0.00232279	-0.000558213
"HG00179"	"HG00179"	"female"	"SAME124965"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00179"	-0.045422	0.039832	0.105087	0.00782027	0.0153422	-0.00843789	-0.00163073	-0.0154837	0.018304	0.012748
"HG00181"	"HG00181"	"male"	"SAME123644"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00181"	-0.0446993	0.00850894	0.0413101	0.0132503	0.0214182	0.00431963	0.0251667	-0.0105331	-0.0099355	-0.00523537
"HG00183"	"HG00183"	"male"	"SAME123642"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00183"	-0.0474298	0.023517	0.0666798	-0.00134717	0.00218624	0.00133957	-0.00969645	0.0132062	-0.01142	0.0326065
"HG00185"	"HG00185"	"male"	"SAME123648"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00185"	-0.0459071	0.0236039	0.0868836	-0.0123879	-0.000451619	-0.00201598	0.00480625	0.00311595	0.0020203	-0.0169138
"HG00187"	"HG00187"	"male"	"SAME123646"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00187"	-0.0478502	0.0237497	0.097529	-0.00676753	0.0101115	-0.005379	0.0064232	-0.0121512	-0.0182125	0.00314893
"HG00189"	"HG00189"	"male"	"SAME123640"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00189"	-0.0473203	0.0242818	0.073051	0.00243836	-0.00185678	0.000931571	0.0209319	-0.00174681	-0.00836852	0.0210027
"HG00190"	"HG00190"	"male"	"SAME123856"	"FIN"	"Finnish,Finnish"	"EUR"	"European Ancestry,West Eurasia (SGDP)"	"FIN,FinnishSGDP"	"1000 Genomes on GRCh38,Simons Genome Diversity Project,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"	"HG00190"	-0.0450078	0.0179729	0.0629832	-0.00537669	5.73456e-05	0.00960974	-0.001972	-0.00140879	0.00919096	-0.00308196
"HG00232"	"HG00232"	"female"	"SAME124128"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00232"	-0.0462058	-0.00404632	-0.0136281	0.00184865	-0.00287533	0.0198845	0.00125385	-0.0189385	0.0146914	0.0118403
"HG00234"	"HG00234"	"male"	"SAME124123"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00234"	-0.0473425	0.00325453	-0.00907788	-0.00657408	-0.00089839	0.00374837	0.00598515	-0.00673357	-0.0126968	-0.0214494
"HG00238"	"HG00238"	"female"	"SAME124131"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00238"	-0.0469584	0.00223268	-0.0206562	-0.00546322	0.00170788	0.0181533	0.00471646	-0.0110474	0.00728681	0.0018261
"HG00240"	"HG00240"	"female"	"SAME123221"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00240"	-0.0476246	0.00377549	-0.0181686	-0.0053538	-0.00265032	0.0161947	0.000262755	-0.00580343	0.00384576	-0.0018017
"HG00242"	"HG00242"	"male"	"SAME123223"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00242"	-0.0464577	-0.00543107	-0.0288045	0.0046347	0.000135211	0.00466435	-0.00103164	-0.0209285	-0.00419253	-0.00199444
"HG00246"	"HG00246"	"male"	"SAME123219"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00246"	-0.0444335	0.00123766	-0.00591302	0.00181991	-0.00564122	-0.0128382	-0.0102581	-0.00303428	0.00439544	-0.0291763
"HG00250"	"HG00250"	"female"	"SAME123054"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00250"	-0.0460017	-0.00683769	-0.0137977	0.00156059	-0.00114756	-0.00261035	7.8969e-06	0.00207019	0.0002662	-0.00710205
"HG00251"	"HG00251"	"male"	"SAME123053"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00251"	-0.0472115	-0.00199726	-0.0269425	0.000312926	0.016365	-0.00383186	-0.00910177	-0.0251106	0.0131485	-0.0182872
"HG00252"	"HG00252"	"male"	"SAME123052"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00252"	-0.047081	0.000280262	-0.00423124	0.00513852	-0.00133042	0.00661158	-0.019249	-0.00492625	-0.00564598	0.022015
"HG00253"	"HG00253"	"female"	"SAME123051"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00253"	-0.0469704	-0.00449208	-0.0269457	0.00229734	-0.00268665	0.0136324	0.00168945	-0.0256938	-0.000380282	0.00864624
"HG00254"	"HG00254"	"female"	"SAME123050"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release"	"HG00254"	-0.0471111	0.00282426	-0.0195267	-0.00466409	-0.0122177	0.00277256	-0.000501695	-0.0211436	0.0064421	-0.0138318
"HG00256"	"HG00256"	"male"	"SAME123048"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00256"	-0.0473527	-0.00337432	-0.0161794	0.00143661	0.00149937	0.00307704	0.00215046	-0.0205181	-0.0161496	0.00111885
"HG00257"	"HG00257"	"female"	"SAME123047"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00257"	-0.0458968	0.00581039	-0.00218558	0.00660786	-0.00631984	0.0133956	0.00337978	-0.00285745	-0.00467402	-0.0217154
"HG00259"	"HG00259"	"female"	"SAME123056"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00259"	-0.0457486	-0.00326476	-0.0244603	0.0029037	0.0100219	0.0111972	-0.0197809	-0.0199481	-0.00412121	-0.00433232
"HG00260"	"HG00260"	"male"	"SAME123582"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00260"	-0.0473763	-0.00160659	-0.0102516	0.00614657	0.002952	0.0139362	-0.0165052	-0.0189817	-0.00932832	-0.00677258
"HG00262"	"HG00262"	"female"	"SAME123580"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00262"	-0.0472973	0.00605888	0.00707215	0.0142546	0.00961235	0.0189757	-0.00620752	-0.00562298	0.00303292	-0.0115387
"HG00263"	"HG00263"	"female"	"SAME123581"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00263"	-0.0458267	-0.012828	-0.0202355	0.00186614	0.0103544	0.00717956	-0.00568973	-0.00388239	0.0191586	0.00642017
"HG00264"	"HG00264"	"male"	"SAME123578"	"GBR"	"British"	"EUR"	"European Ancestry"	"GBR"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00264"	-0.0471811	-0.00129735	-0.0140024	0.000581469	-0.0021341	-0.000522358	-0.00633874	-0.000838469	0.00933424	-0.0139832
"HG00267"	"HG00267"	"male"	"SAME123577"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00267"	-0.0474223	0.0241251	0.086776	-0.00178222	0.00173607	-0.00255475	0.00898712	0.00662105	0.00300909	0.00411597
"HG00268"	"HG00268"	"female"	"SAME123574"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,Human Genome Structural Variation Consortium 2,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00268"	-0.0465738	0.0161721	0.0473542	-0.0109702	0.000604557	0.00197145	0.00667837	-0.00710351	0.000550235	0.00114097
"HG00269"	"HG00269"	"female"	"SAME123575"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00269"	-0.0458094	0.0363499	0.118108	-0.00717123	0.00325524	0.0137247	-0.00293333	0.0207755	-0.00416603	0.0251662
"HG00272"	"HG00272"	"female"	"SAME123420"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00272"	-0.0451751	0.0314143	0.101992	0.00404552	-0.00324477	-0.032628	0.0178833	0.016633	0.00790159	0.00958526
"HG00273"	"HG00273"	"male"	"SAME123419"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00273"	-0.0466071	0.0248606	0.091708	-0.00370848	0.0162656	-0.00840482	-0.000430952	-0.0197007	-0.011279	-0.00289147
"HG00274"	"HG00274"	"female"	"SAME123422"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00274"	-0.0465201	0.023895	0.104349	-0.0122633	0.00450283	-0.00463785	-0.00888206	0.0258308	-0.011985	0.00935841
"HG00277"	"HG00277"	"male"	"SAME123423"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00277"	-0.0462497	0.00806552	0.0403212	0.00974653	0.0173724	0.00332735	0.00961528	-0.0111184	-0.00771114	-0.0105448
"HG00278"	"HG00278"	"male"	"SAME123425"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00278"	-0.0460152	0.0209933	0.107921	-0.00912337	0.0165118	-0.00522303	-0.00574423	0.00705945	0.00648011	-0.00411128
"HG00280"	"HG00280"	"male"	"SAME122831"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00280"	-0.0456946	0.0266931	0.107467	0.00382067	0.0113915	-0.00120468	-0.0107863	-0.00734714	0.0112871	0.0134743
"HG00281"	"HG00281"	"female"	"SAME122832"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00281"	-0.0464964	0.0233838	0.0875679	7.2475e-05	-0.00638892	-0.0112542	-0.000101683	0.00268925	-0.0122385	-0.00165805
"HG00282"	"HG00282"	"female"	"SAME122833"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00282"	-0.0461735	0.0153203	0.0793774	0.0148204	-0.0195275	0.000659784	0.0113933	-0.00377272	-0.000963389	0.0014189
"HG00285"	"HG00285"	"female"	"SAME122836"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00285"	-0.0452259	0.0221698	0.0939364	-0.00528377	-0.0119529	-0.000389564	-0.00309538	0.0058461	-0.00217282	0.0198019
"HG00288"	"HG00288"	"female"	"SAME1839246"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG00288"	-0.0467697	0.0144675	0.0582382	-0.00717478	0.00747562	0.00601733	0.0152143	-0.0198469	-0.0135821	-0.0116734
"HG00290"	"HG00290"	"male"	"SAME1839057"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG00290"	-0.0468553	0.0289146	0.0874889	-0.00343576	0.00238573	-0.00228027	-0.0022014	-0.0215397	-0.00424318	0.0233124
"HG00304"	"HG00304"	"female"	"SAME1840118"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release"	"HG00304"	-0.0460517	0.029425	0.110483	0.0039682	0.00469194	0.000112311	-0.00735467	0.0314892	-0.0102937	0.0155541
"HG00306"	"HG00306"	"female"	"SAME124159"	"FIN"	"Finnish"	"EUR"	"European Ancestry"	"FIN"	"1000 Genomes on GRCh38,1000 Genomes 30x on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release,Geuvadis"	"HG00306"	-0.0469905	0.0265112	0.0954431	0.00403639	0.00250608	-0.00329912	-0.00181721	0.0136285	0.00863588	-0.00979972
