"V5"	"id"	"sig"	"V4"	"V1"	"V2"	"V3"	"med_fst"	"outlier"	"sig2"
"ABCA10"	6001	12	"ENSG00000154263"	"chr17"	69147214	69244846	0.0799315516666667	0	1
"ABCA3"	7301	12	"ENSG00000167972"	"chr16"	2275881	2340746	0.264818904761905	1	1
"ABCA5"	6002	12	"ENSG00000154265"	"chr17"	69244311	69327244	0.0965443618928571	0	1
"ABCA6"	6000	12	"ENSG00000154262"	"chr17"	69078702	69141888	0.123716362133333	0	1
"ABCA7"	598	8	"ENSG00000064687"	"chr19"	1040101	1065572	0.0759537199506061	0	1
"ABCB10"	4510	8	"ENSG00000135776"	"chr1"	229516582	229558695	0.109753453888889	0	1
"ABCB4"	67	8	"ENSG00000005471"	"chr7"	87401697	87480435	0.141474234166667	0	1
"ABCB8"	9213	0	"ENSG00000197150"	"chr7"	151028422	151047782	0.08694012	0	0
"ABCB9"	5794	12	"ENSG00000150967"	"chr12"	122920951	122981649	0.137081825	0	1
"ABCC1"	1840	12	"ENSG00000103222"	"chr16"	15949577	16143074	0.1716717118	0	1
"ABCC10"	3583	0	"ENSG00000124574"	"chr6"	43427366	43450430	0.0644047509090909	0	0
"ABCC4"	3624	8	"ENSG00000125257"	"chr13"	95019829	95301446	0.234266175945946	0	1
"ABCC5"	2817	0	"ENSG00000114770"	"chr3"	183919934	184018015	0.140088483333333	0	0
"ABCC6"	1290	0	"ENSG00000091262"	"chr16"	16148928	16223522	0.116080875	0	0
"ABCD2"	7871	0	"ENSG00000173208"	"chr12"	39550033	39619751	0.123992926946154	0	0
"ABCD3"	3087	0	"ENSG00000117528"	"chr1"	94418455	94518666	0.0937518	0	0
"ABCD4"	3231	0	"ENSG00000119688"	"chr14"	74285423	74303056	0.185837763157895	0	0
"ABCE1"	6815	0	"ENSG00000164163"	"chr4"	145097932	145129179	0.203963750111111	0	0
"ABCF1"	9597	0	"ENSG00000204574"	"chr6"	30571376	30597179	0.05738404	0	0
"ABCF2"	330	0	"ENSG00000033050"	"chr7"	151207837	151227230	0.0529475976809524	0	0
"ABCF3"	6472	0	"ENSG00000161204"	"chr3"	184186023	184194012	0.0652702126086957	0	0
"ABCG1"	6372	12	"ENSG00000160179"	"chr21"	42199689	42297244	0.06865727125	0	1
"ABHD10"	5414	0	"ENSG00000144827"	"chr3"	111979010	111993363	0.0141931304956522	0	0
"ABHD11"	2136	10	"ENSG00000106077"	"chr7"	73736094	73738867	0.16918961	0	1
"ABHD12"	1622	0	"ENSG00000100997"	"chr20"	25294743	25390983	0.0581866952631579	0	0
"ABHD13"	4985	0	"ENSG00000139826"	"chr13"	108218379	108234255	0.0767760013043478	0	0
"ABHD14A"	9985	0	"ENSG00000248487"	"chr3"	51971426	51981199	0.1857605	0	0
"ABHD14B"	2818	12	"ENSG00000114779"	"chr3"	51968510	51983409	0.190804066666667	0	1
"ABHD15"	7410	0	"ENSG00000168792"	"chr17"	29560547	29567137	0.111821193846154	0	0
"ABHD16A"	9575	0	"ENSG00000204427"	"chr6"	31686949	31703444	0.111891253333333	0	0
"ABHD17A"	3946	0	"ENSG00000129968"	"chr19"	1876810	1885547	0.0348132695185185	0	0
"ABHD17B"	2224	0	"ENSG00000107362"	"chr9"	71862452	71910931	0.133805233076923	0	0
"ABHD17C"	4595	12	"ENSG00000136379"	"chr15"	80679684	80755621	0.0929383848	0	1
"ABHD18"	6793	8	"ENSG00000164074"	"chr4"	127965306	128039711	0.126121241666667	0	1
"ABHD2"	5042	0	"ENSG00000140526"	"chr15"	89087459	89202360	0.0862025276	0	0
"ABHD3"	6245	0	"ENSG00000158201"	"chr18"	21650897	21704805	0.206852575	0	0
"ABHD4"	1534	12	"ENSG00000100439"	"chr14"	22598237	22613215	0.107412515427907	0	1
"ABHD5"	180	0	"ENSG00000011198"	"chr3"	43690113	43734371	0.0926809470588235	0	0
"ABHD6"	6717	12	"ENSG00000163686"	"chr3"	58237506	58295693	0.1129669762	0	1
"ABI1"	4634	0	"ENSG00000136754"	"chr10"	26746593	26861087	0.16993551	0	0
"ABI2"	4852	0	"ENSG00000138443"	"chr2"	203328219	203447723	0.150289056846154	0	0
"ABI3"	2352	11	"ENSG00000108798"	"chr17"	49210227	49223225	0.04205494325	0	1
"ABL1"	1380	10	"ENSG00000097007"	"chr9"	130713946	130887675	0.136462706666667	0	1
"ABL2"	5258	0	"ENSG00000143322"	"chr1"	179099327	179229684	0.0857872342105263	0	0
"ABLIM1"	1385	8	"ENSG00000099204"	"chr10"	114431113	114685003	0.106904368636364	0	1
"ABR"	6348	0	"ENSG00000159842"	"chr17"	1003518	1229021	0.139848781275362	0	0
"ABRACL"	5522	0	"ENSG00000146386"	"chr6"	139028682	139043302	0.0667934728	0	0
"ABT1"	5506	0	"ENSG00000146109"	"chr6"	26596952	26600744	0.0658347196153846	0	0
"ABTB1"	2804	12	"ENSG00000114626"	"chr3"	127672935	127680920	0.214411613333333	0	1
"ABTB2"	7044	12	"ENSG00000166016"	"chr11"	34150988	34358008	0.166873219354839	0	1
"ACAA1"	549	8	"ENSG00000060971"	"chr3"	38103129	38137242	0.0565486171428571	0	1
"ACAA2"	7211	12	"ENSG00000167315"	"chr18"	49782167	49813960	0.04590823755	0	1
"ACACA"	10152	0	"ENSG00000278540"	"chr17"	37084988	37406818	0.0597184198	0	0
"ACAD10"	2529	0	"ENSG00000111271"	"chr12"	111686056	111757107	0.18445942	0	0
"ACAD8"	5833	9	"ENSG00000151498"	"chr11"	134253495	134265855	0.124461046206897	0	1
"ACAD9"	8206	0	"ENSG00000177646"	"chr3"	128879596	128916067	0.195142044705882	0	0
"ACADM"	3045	8	"ENSG00000117054"	"chr1"	75724347	75787575	0.0744391808928571	0	1
"ACADS"	3460	9	"ENSG00000122971"	"chr12"	120725735	120740008	0.0958123779411765	0	1
"ACADSB"	9075	0	"ENSG00000196177"	"chr10"	123008979	123058311	0.154957475125	0	0
"ACADVL"	817	11	"ENSG00000072778"	"chr17"	7217125	7225273	0.146001445454545	0	1
"ACAP1"	820	0	"ENSG00000072818"	"chr17"	7336529	7351478	0.107032060869565	0	0
"ACAP2"	2782	0	"ENSG00000114331"	"chr3"	195274736	195443078	0.104718688571429	0	0
"ACAP3"	4109	12	"ENSG00000131584"	"chr1"	1292376	1309609	0.14424996	0	1
"ACAT1"	871	11	"ENSG00000075239"	"chr11"	108121516	108147776	0.122346486142857	0	1
"ACAT2"	3291	12	"ENSG00000120437"	"chr6"	159760328	159779055	0.04795567675	0	1
"ACBD3"	8552	0	"ENSG00000182827"	"chr1"	226144679	226186730	0.0683112294736842	0	0
"ACBD4"	8458	0	"ENSG00000181513"	"chr17"	45132600	45144181	0.0373005146666667	0	0
"ACBD5"	2265	0	"ENSG00000107897"	"chr10"	27195214	27242130	0.115641290175439	0	0
"ACBD6"	9862	0	"ENSG00000230124"	"chr1"	180269653	180502954	0.1390528715	0	0
"ACCS"	2471	12	"ENSG00000110455"	"chr11"	44065925	44084222	0.0858673297380952	0	1
"ACD"	1809	0	"ENSG00000102977"	"chr16"	67657512	67660815	0.177165088888889	0	0
"ACER3"	945	0	"ENSG00000078124"	"chr11"	76860867	77026797	0.0597071635714286	0	0
"ACIN1"	1593	0	"ENSG00000100813"	"chr14"	23058564	23095614	0.112280042121212	0	0
"ACKR3"	5384	11	"ENSG00000144476"	"chr2"	236567787	236582358	0.149911934285714	0	1
"ACLY"	4101	8	"ENSG00000131473"	"chr17"	41866908	41930542	0.0916495162222222	0	1
"ACO1"	3445	0	"ENSG00000122729"	"chr9"	32384603	32454769	0.0966375554	0	0
"ACO2"	1525	0	"ENSG00000100412"	"chr22"	41469125	41528989	0.115977996428571	0	0
"ACOT13"	2639	0	"ENSG00000112304"	"chr6"	24667035	24705065	0.129169335	0	0
"ACOT2"	3226	11	"ENSG00000119673"	"chr14"	73567620	73575658	0.101960790512821	0	1
"ACOT4"	8191	0	"ENSG00000177465"	"chr14"	73591706	73596496	0.140274741197692	0	0
"ACOT7"	1381	8	"ENSG00000097021"	"chr1"	6264269	6394391	0.129088223333333	0	1
"ACOT8"	1692	0	"ENSG00000101473"	"chr20"	45841721	45857406	0.157717085714286	0	0
"ACOX1"	6483	0	"ENSG00000161533"	"chr17"	75941507	75979363	0.064743279047619	0	0
"ACOX3"	1146	0	"ENSG00000087008"	"chr4"	8366282	8440723	0.12531384375	0	0
"ACP1"	5317	0	"ENSG00000143727"	"chr2"	264140	278283	0.0864035833333333	0	0
"ACP2"	4375	11	"ENSG00000134575"	"chr11"	47239302	47248906	0.152092163636364	0	1
"ACP5"	1773	8	"ENSG00000102575"	"chr19"	11574660	11579008	0.113439264170732	0	1
"ACP6"	6587	0	"ENSG00000162836"	"chr1"	147629652	147670496	0.109992606666667	0	0
"ACRV1"	4409	0	"ENSG00000134940"	"chr11"	125671522	125681123	0.0514843116666667	0	0
"ACSF2"	7187	8	"ENSG00000167107"	"chr17"	50426158	50474845	0.114130907764706	0	1
"ACSF3"	8140	0	"ENSG00000176715"	"chr16"	89088375	89155846	0.11637625527027	0	0
"ACSL1"	5852	11	"ENSG00000151726"	"chr4"	184755595	184826818	0.127344271269841	0	1
"ACSL3"	3525	0	"ENSG00000123983"	"chr2"	222860934	222944639	0.0535920373333333	0	0
"ACSL5"	9211	5	"ENSG00000197142"	"chr10"	112374018	112428380	0.045672241875	0	1
"ACSM3"	56	9	"ENSG00000005187"	"chr16"	20610243	20797581	0.262472205263158	1	1
"ACSS1"	6038	12	"ENSG00000154930"	"chr20"	25006230	25058980	0.149000116469231	0	1
"ACSS2"	4063	8	"ENSG00000131069"	"chr20"	34872146	34927962	0.141002275666667	0	1
"ACTA2"	2251	0	"ENSG00000107796"	"chr10"	88935074	88991339	0.148894567307692	0	0
"ACTB"	884	12	"ENSG00000075624"	"chr7"	5527151	5563784	0.153703820526316	0	1
"ACTG1"	8642	12	"ENSG00000184009"	"chr17"	81509971	81523847	0.1289252954	0	1
"ACTL10"	8541	0	"ENSG00000182584"	"chr20"	33666498	33668525	0.182598625	0	0
"ACTL6A"	4609	12	"ENSG00000136518"	"chr3"	179562880	179588408	0.0611519175	0	1
"ACTN1"	799	0	"ENSG00000072110"	"chr14"	68874143	68979440	0.0302354037142857	0	0
"ACTN4"	3986	0	"ENSG00000130402"	"chr19"	38647649	38731583	0.0705880588461539	0	0
"ACTR10"	4137	0	"ENSG00000131966"	"chr14"	58200080	58235636	0.0892539925	0	0
"ACTR1A"	4814	0	"ENSG00000138107"	"chr10"	102461881	102502711	0.102618908333333	0	0
"ACTR1B"	2839	0	"ENSG00000115073"	"chr2"	97655963	97664107	0.160022945714286	0	0
"ACTR2"	4802	8	"ENSG00000138071"	"chr2"	65227753	65271253	0.12462068752381	0	1
"ACTR3"	2841	12	"ENSG00000115091"	"chr2"	113889960	113962596	0.134246630434783	0	1
"ACTR3B"	4284	11	"ENSG00000133627"	"chr7"	152759749	152855378	0.049319456375	0	1
"ACTR5"	1684	0	"ENSG00000101442"	"chr20"	38748442	38772520	0.0455662785588235	0	0
"ACTR6"	864	0	"ENSG00000075089"	"chr12"	100199122	100241865	0.0957950464705882	0	0
"ACTR8"	2757	0	"ENSG00000113812"	"chr3"	53867066	53882202	0.0917042488888889	0	0
"ACVR2B"	2811	12	"ENSG00000114739"	"chr3"	38453851	38493142	0.21172382	0	1
"ACY1"	9963	0	"ENSG00000243989"	"chr3"	51983278	51989202	0.190804066666667	0	0
"ACY3"	4216	0	"ENSG00000132744"	"chr11"	67642555	67650659	0.157407301946429	0	0
"ACYP1"	3221	0	"ENSG00000119640"	"chr14"	75053221	75069483	0.0712387522727273	0	0
"ACYP2"	7626	8	"ENSG00000170634"	"chr2"	53970838	54305300	0.04551866078125	0	1
"ADA"	9165	8	"ENSG00000196839"	"chr20"	44619522	44652233	0.15228247856	0	1
"ADAL"	7413	12	"ENSG00000168803"	"chr15"	43330674	43354555	0.04131186	0	1
"ADAM10"	4779	0	"ENSG00000137845"	"chr15"	58588807	58749978	0.151857837368421	0	0
"ADAM15"	5294	0	"ENSG00000143537"	"chr1"	155050566	155062775	0.050224023	0	0
"ADAM19"	4427	12	"ENSG00000135074"	"chr5"	157395534	157575775	0.128893560102564	0	1
"ADAM22"	127	0	"ENSG00000008277"	"chr7"	87934143	88202889	0.166982890909091	0	0
"ADAM8"	5844	0	"ENSG00000151651"	"chr10"	133262403	133276868	0.0702746403636364	0	0
"ADAM9"	7393	8	"ENSG00000168615"	"chr8"	38996869	39105144	0.0789774532142857	0	1
"ADAMTS12"	5822	0	"ENSG00000151388"	"chr5"	33523535	33892192	0.189392896769231	0	0
"ADAP1"	2125	12	"ENSG00000105963"	"chr7"	897901	955407	0.0922297576459459	0	1
"ADAR"	6428	12	"ENSG00000160710"	"chr1"	154582062	154627999	0.107181705352941	0	1
"ADAT1"	624	0	"ENSG00000065457"	"chr16"	75596981	75623300	0.0922618551724138	0	0
"ADAT2"	9033	0	"ENSG00000189007"	"chr6"	143422832	143450673	0.118623682857143	0	0
"ADCK1"	579	0	"ENSG00000063761"	"chr14"	77800083	77935012	0.0483554916363636	0	0
"ADCK2"	4280	8	"ENSG00000133597"	"chr7"	140673153	140696261	0.242683	1	1
"ADCK5"	7862	0	"ENSG00000173137"	"chr8"	144373101	144393242	0.170555210769231	0	0
"ADCY1"	6896	0	"ENSG00000164742"	"chr7"	45574140	45723116	0.06154084	0	0
"ADCY3"	4795	0	"ENSG00000138031"	"chr2"	24819169	24919839	0.096056849137037	0	0
"ADCY7"	3360	0	"ENSG00000121281"	"chr16"	50246137	50318135	0.118758449818182	0	0
"ADD1"	1163	10	"ENSG00000087274"	"chr4"	2843857	2930076	0.102651816666667	0	1
"ADD3"	5681	8	"ENSG00000148700"	"chr10"	109996368	110135565	0.220142250909091	0	1
"ADGRE5"	3476	0	"ENSG00000123146"	"chr19"	14380501	14408725	0.1069066822	0	0
"ADGRG1"	9642	8	"ENSG00000205336"	"chr16"	57610652	57665580	0.0904875147692308	0	1
"ADGRG5"	6339	0	"ENSG00000159618"	"chr16"	57542421	57591681	0.154474208181818	0	0
"ADH5"	9302	8	"ENSG00000197894"	"chr4"	99070978	99088801	0.152477307027027	0	1
"ADI1"	8539	12	"ENSG00000182551"	"chr2"	3497361	3519736	0.0716471926207692	0	1
"ADIPOR1"	6320	8	"ENSG00000159346"	"chr1"	202940823	202958572	0.0998368292592593	0	1
"ADIPOR2"	104	9	"ENSG00000006831"	"chr12"	1688574	1788678	0.0813997868181818	0	1
"ADK"	6104	8	"ENSG00000156110"	"chr10"	74151185	74709303	0.08805953464	0	1
"ADM"	5697	8	"ENSG00000148926"	"chr11"	10304680	10307397	0.0761689744444444	0	1
"ADM5"	9833	0	"ENSG00000224420"	"chr19"	49688664	49690575	0.0993709675	0	0
"ADNP"	1634	0	"ENSG00000101126"	"chr20"	50888919	50931240	0.12882065875	0	0
"ADNP2"	1695	12	"ENSG00000101544"	"chr18"	80109031	80147523	0.118364020726316	0	1
"ADO"	8484	0	"ENSG00000181915"	"chr10"	62804857	62808483	0.140478388235294	0	0
"ADPGK"	6318	8	"ENSG00000159322"	"chr15"	72751369	72785846	0.103356287521739	0	1
"ADPRH"	5417	8	"ENSG00000144843"	"chr3"	119579268	119589945	0.0440957586206897	0	1
"ADPRHL2"	3026	0	"ENSG00000116863"	"chr1"	36088875	36093932	0.190447071	0	0
"ADPRM"	7577	10	"ENSG00000170222"	"chr17"	10697594	10711233	0.177480343030303	0	1
"ADRM1"	4015	8	"ENSG00000130706"	"chr20"	62302093	62308862	0.0940208001666667	0	1
"ADSL"	9910	12	"ENSG00000239900"	"chr22"	40346500	40390463	0.05159448768	0	1
"ADSS"	350	8	"ENSG00000035687"	"chr1"	244408494	244452134	0.0634264796923077	0	1
"AEBP2"	4918	8	"ENSG00000139154"	"chr12"	19404045	19720801	0.100564223793103	0	1
"AEN"	8431	0	"ENSG00000181026"	"chr15"	88621296	88632282	0.0764374928571429	0	0
"AES"	1995	12	"ENSG00000104964"	"chr19"	3052910	3063107	0.0514951979230769	0	1
"AFF1"	7808	8	"ENSG00000172493"	"chr4"	86935002	87141054	0.158681507692308	0	1
"AFF4"	806	8	"ENSG00000072364"	"chr5"	132875379	132963634	0.0874316576190476	0	1
"AFG3L2"	5111	0	"ENSG00000141385"	"chr18"	12328944	12377314	0.183422535	0	0
"AFMID"	8577	0	"ENSG00000183077"	"chr17"	78187317	78207701	0.126220587105263	0	0
"AFTPH"	3250	0	"ENSG00000119844"	"chr2"	64524305	64593005	0.222301213529412	0	0
"AGA"	362	0	"ENSG00000038002"	"chr4"	177430770	177442503	0.09013139568	0	0
"AGAP2"	4468	0	"ENSG00000135439"	"chr12"	57723761	57742157	0.153148166666667	0	0
"AGAP3"	4282	0	"ENSG00000133612"	"chr7"	151085831	151144436	0.155070862631579	0	0
"AGAP6"	9532	8	"ENSG00000204149"	"chr10"	49982190	50010499	0.0840119582	0	1
"AGBL3"	5553	11	"ENSG00000146856"	"chr7"	134986508	135147963	0.164866298125	0	1
"AGBL5"	1089	0	"ENSG00000084693"	"chr2"	27042364	27070622	0.10473426	0	0
"AGER"	9555	12	"ENSG00000204305"	"chr6"	32180968	32184324	0.0709765060869565	0	1
"AGFG1"	7919	12	"ENSG00000173744"	"chr2"	227472152	227561214	0.039747517	0	1
"AGFG2"	2158	0	"ENSG00000106351"	"chr7"	100539211	100568219	0.051362899	0	0
"AGGF1"	6833	0	"ENSG00000164252"	"chr5"	77029251	77065234	0.141360868235294	0	0
"AGK"	89	0	"ENSG00000006530"	"chr7"	141551189	141655244	0.16105308875	0	0
"AGL"	6566	0	"ENSG00000162688"	"chr1"	99850084	99924023	0.124290413333333	0	0
"AGMAT"	3017	12	"ENSG00000116771"	"chr1"	15572353	15585110	0.165354198916667	0	1
"AGO1"	1324	0	"ENSG00000092847"	"chr1"	35869808	35930528	0.16880425	0	0
"AGO2"	3522	12	"ENSG00000123908"	"chr8"	140520156	140635619	0.133858587	0	1
"AGO3"	3721	8	"ENSG00000126070"	"chr1"	35930718	36072500	0.193021057142857	0	1
"AGO4"	4385	0	"ENSG00000134698"	"chr1"	35808172	35857890	0.15797858375	0	0
"AGPAT1"	9557	12	"ENSG00000204310"	"chr6"	32168212	32178096	0.0506321248	0	1
"AGPAT2"	7523	0	"ENSG00000169692"	"chr9"	136673143	136687423	0.147771696578947	0	0
"AGPAT3"	6384	0	"ENSG00000160216"	"chr21"	43865186	43986536	0.163023624166667	0	0
"AGPAT5"	6052	12	"ENSG00000155189"	"chr8"	6708357	6759666	0.154874291647059	0	1
"AGPS"	245	0	"ENSG00000018510"	"chr2"	177392644	177559299	0.0690769761904762	0	0
"AGTPBP1"	4423	12	"ENSG00000135049"	"chr9"	85546539	85742029	0.082531056375	0	1
"AGTRAP"	8209	0	"ENSG00000177674"	"chr1"	11736084	11754802	0.107802702272727	0	0
"AHCTF1"	5950	12	"ENSG00000153207"	"chr1"	246839098	246931978	0.115258359	0	1
"AHCY"	1686	8	"ENSG00000101444"	"chr20"	34280268	34311802	0.204040328571429	0	1
"AHCYL1"	7399	0	"ENSG00000168710"	"chr1"	109984686	110023741	0.157611133333333	0	0
"AHCYL2"	6258	0	"ENSG00000158467"	"chr7"	129225023	129430211	0.086392771125	0	0
"AHDC1"	3752	0	"ENSG00000126705"	"chr1"	27534035	27604431	0.205375471428571	0	0
"AHI1"	4484	8	"ENSG00000135541"	"chr6"	135283532	135497776	0.138209366666667	0	1
"AHNAK"	3611	12	"ENSG00000124942"	"chr11"	62433542	62556235	0.11802275	0	1
"AHR"	2173	0	"ENSG00000106546"	"chr7"	17298622	17346152	0.075814888	0	0
"AHRR"	576	12	"ENSG00000063438"	"chr5"	304176	438291	0.1681670115	0	1
"AHSA1"	1560	8	"ENSG00000100591"	"chr14"	77457870	77469474	0.13324990975	0	1
"AHSA2"	7872	0	"ENSG00000173209"	"chr2"	61177418	61191203	0.0527733953529412	0	0
"AICDA"	2579	12	"ENSG00000111732"	"chr12"	8602166	8612871	0.0760906317727273	0	1
"AIDA"	8833	0	"ENSG00000186063"	"chr1"	222668013	222713210	0.0654783555555556	0	0
"AIF1"	9582	12	"ENSG00000204472"	"chr6"	31615184	31617021	0.151928160625	0	1
"AIFM2"	385	8	"ENSG00000042286"	"chr10"	70098223	70132934	0.105056625081081	0	1
"AIG1"	5526	12	"ENSG00000146416"	"chr6"	143060496	143340304	0.0804651776	0	1
"AIM2"	6694	0	"ENSG00000163568"	"chr1"	159062484	159147096	0.149996509285714	0	0
"AIMP1"	6778	0	"ENSG00000164022"	"chr4"	106315544	106349226	0.0407811883333333	0	0
"AIMP2"	2152	12	"ENSG00000106305"	"chr7"	6009245	6023834	0.0646063486057143	0	1
"AIP"	2484	10	"ENSG00000110711"	"chr11"	67483041	67491103	0.08196928	0	1
"AK2"	34	0	"ENSG00000004455"	"chr1"	33007940	33080996	0.114642047826087	0	0
"AK3"	5619	0	"ENSG00000147853"	"chr9"	4709559	4742043	0.129636962204082	0	0
"AK4"	6540	0	"ENSG00000162433"	"chr1"	65147549	65232145	0.088145357	0	0
"AK6"	1098	12	"ENSG00000085231"	"chr5"	69350984	69370013	0.141405333333333	0	1
"AKAP1"	3348	0	"ENSG00000121057"	"chr17"	57085092	57121349	0.103655168222222	0	0
"AKAP10"	2335	0	"ENSG00000108599"	"chr17"	19904302	19978343	0.110107683333333	0	0
"AKAP11"	270	0	"ENSG00000023516"	"chr13"	42272153	42323267	0.0712042265454546	0	0
"AKAP13"	7633	12	"ENSG00000170776"	"chr15"	85380571	85749358	0.08265653	0	1
"AKAP5"	8356	0	"ENSG00000179841"	"chr14"	64465499	64474503	0.1035411775	0	0
"AKAP8"	2011	0	"ENSG00000105127"	"chr19"	15353385	15379798	0.0960489	0	0
"AKAP9"	3822	0	"ENSG00000127914"	"chr7"	91940867	92110673	0.116754821428571	0	0
"AKIP1"	7105	0	"ENSG00000166452"	"chr11"	8911139	8920084	0.140385705909091	0	0
"AKIRIN1"	7982	8	"ENSG00000174574"	"chr1"	38991223	39006059	0.09730768	0	1
"AKIRIN2"	4454	8	"ENSG00000135334"	"chr6"	87675072	87702209	0.0666697481	0	1
"AKNA"	2204	0	"ENSG00000106948"	"chr9"	114334156	114394405	0.10996409	0	0
"AKR1A1"	3077	0	"ENSG00000117448"	"chr1"	45550543	45570049	0.0238131504333333	0	0
"AKR1B1"	1110	0	"ENSG00000085662"	"chr7"	134442350	134459284	0.126736375	0	0
"AKR7A2"	472	0	"ENSG00000053371"	"chr1"	19303965	19312146	0.0877044975757576	0	0
"AKT1"	5184	0	"ENSG00000142208"	"chr14"	104769349	104795751	0.104470862727273	0	0
"AKT1S1"	9608	0	"ENSG00000204673"	"chr19"	49869033	49878459	0.0860453999230769	0	0
"AKT2"	2024	0	"ENSG00000105221"	"chr19"	40230317	40285536	0.170240022307692	0	0
"AKT3"	3043	10	"ENSG00000117020"	"chr1"	243488233	243851079	0.122237496363636	0	1
"AKTIP"	7172	0	"ENSG00000166971"	"chr16"	53491040	53504411	0.06706420964	0	0
"ALAD"	5642	9	"ENSG00000148218"	"chr9"	113386317	113401333	0.0532715349411765	0	1
"ALAS1"	268	9	"ENSG00000023330"	"chr3"	52198086	52214327	0.0655466244444445	0	1
"ALCAM"	7561	0	"ENSG00000170017"	"chr3"	105366909	105576900	0.0594306846153846	0	0
"ALDH16A1"	6487	12	"ENSG00000161618"	"chr19"	49453169	49471048	0.0787615566666667	0	1
"ALDH18A1"	533	0	"ENSG00000059573"	"chr10"	95605929	95656706	0.0848433857142857	0	0
"ALDH1B1"	4691	0	"ENSG00000137124"	"chr9"	38392664	38398661	0.10383384775	0	0
"ALDH1L2"	4547	12	"ENSG00000136010"	"chr12"	105019784	105084577	0.047166785862069	0	1
"ALDH2"	2530	8	"ENSG00000111275"	"chr12"	111766887	111817529	0.14931764375	0	1
"ALDH3A2"	803	12	"ENSG00000072210"	"chr17"	19648136	19677598	0.0510127172727273	0	1
"ALDH4A1"	6328	0	"ENSG00000159423"	"chr1"	18871430	18902781	0.139755373913043	0	0
"ALDH5A1"	2636	12	"ENSG00000112294"	"chr6"	24494852	24537207	0.121373256296296	0	1
"ALDH6A1"	3235	0	"ENSG00000119711"	"chr14"	74056850	74084493	0.0532334523225806	0	0
"ALDH7A1"	6914	12	"ENSG00000164904"	"chr5"	126531200	126595418	0.121190731578947	0	1
"ALDH9A1"	5231	0	"ENSG00000143149"	"chr1"	165662216	165698863	0.101199492678571	0	0
